URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.02631578935826408,38.0,0.37719298245614036,15.350877192982455,38.0,86,228,2.1096491228070176,3,6.37280701754386
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,12,-0.09090908677685969,0.04051565370070782,15.083333333333334,0.3333333333333333,6.166666666666668,15.083333333333334,181,543,1.9318600368324126,7,5.5764272559852675
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.04178272968862749,29.916666666666668,0.3649025069637883,12.112627669452182,29.916666666666668,131,359,2.0752089136490253,1,5.880222841225627
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.06889763765965032,18.814814814814813,0.47244094488188976,7.714902303878681,18.814814814814813,240,508,2.356299212598425,4,6.706692913385827
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,2,0.636363578512402,0.017915309417076045,14.279069767441861,0.34201954397394135,5.848435724566322,14.279069767441861,210,614,1.9706840390879479,1,5.659609120521172
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.02631578935826408,38.0,0.37719298245614036,15.350877192982455,38.0,86,228,2.1096491228070176,3,6.37280701754386
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,12,-0.09090908677685969,0.04051565370070782,15.083333333333334,0.3333333333333333,6.166666666666668,15.083333333333334,181,543,1.9318600368324126,7,5.5764272559852675
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.04178272968862749,29.916666666666668,0.3649025069637883,12.112627669452182,29.916666666666668,131,359,2.0752089136490253,1,5.880222841225627
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.06889763765965032,18.814814814814813,0.47244094488188976,7.714902303878681,18.814814814814813,240,508,2.356299212598425,4,6.706692913385827
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,22,0.4358974303090073,0.05394190867638872,14.46,0.4612724757952974,5.96850899031812,14.46,667,1446,2.3526970954356847,1,6.407330567081605
